retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,eopen,tenure,recency
0,2012-09-28,2013-11-08,2013-11-08,29,100.0,3.448275862,14.52,0.0,0,0,0,Monday,DEL,29,1.1123287671232878,5.065753424657534
1,2010-12-19,2011-01-04,2014-01-19,95,92.63157895,10.52631579,83.69,0.181640625,1,1,1,Friday,DEL,89,3.0876712328767124,4.868493150684931
0,2010-10-22,2011-03-28,2011-03-28,0,0.0,0.0,54.96,0.0,0,0,0,Thursday,BOM,0,0.4301369863013699,7.684931506849315
1,2010-11-27,2010-11-29,2013-01-28,30,90.0,13.33333333,111.91,0.008849558,0,0,0,Monday,BOM,27,2.1726027397260275,5.843835616438356
1,2008-11-17,2010-12-10,2014-01-14,46,80.43478261,15.2173913,175.1,0.141176471,1,1,0,Wednesday,DEL,38,5.161643835616438,4.882191780821918
1,2011-01-24,2011-05-16,2014-01-16,60,43.33333333,6.666666667,116.55,0.125,0,1,0,Friday,BOM,26,2.9808219178082194,4.876712328767123
1,2009-04-12,2011-09-21,2014-01-16,64,28.125,15.625,68.1,0.04009434,1,1,0,Friday,DEL,18,4.767123287671233,4.876712328767123
1,2010-12-29,2011-02-20,2013-10-12,34,94.11764706,8.823529412000001,66.07,0.133789063,1,0,0,Monday,DEL,33,2.789041095890411,5.13972602739726
1,2010-09-22,2010-11-18,2014-01-15,48,83.33333333,2.083333333,89.04,0.086655113,0,0,1,Friday,DEL,40,3.317808219178082,4.879452054794521
1,2009-11-16,2011-09-05,2014-05-01,40,87.5,45.0,88.3,0.088477366,0,0,0,Wednesday,DEL,35,4.457534246575342,4.589041095890411
1,2009-07-25,2010-11-15,2014-01-19,69,2.898550725,2.898550725,126.81,0.059431525,1,1,1,Monday,DEL,3,4.49041095890411,4.868493150684931
1,2010-03-14,2011-01-03,2013-06-10,38,36.84210526,23.68421053,116.77,0.078947368,0,0,0,Tuesday,DEL,14,3.243835616438356,5.47945205479452
